tipo_vivienda,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,"RD$ 6,900,000",3 habitaciones,2.5 baños,2 parqueos,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",160 Mt2,"1/2 Baño, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,"US$ 195,000",3 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",155 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 68,000",1 habitaciones,1.0 baños,1 parqueos,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",74 Mt2,"Agua Potable, Aire Acondicionado, Area Servicio Independiente, Balcón, Cisterna, Control de Acceso"
apartamento,"US$ 125,000",2 habitaciones,2.0 baños,1 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",110 Mt2,"Agua Potable, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Terraza"
casa,"US$ 875,000",6 habitaciones,6.5 baños,NA,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",700 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Cuarto de Servicio, Gimnasio, Patio, Piscina, Terraza"
apartamento,"US$ 160,000",3 habitaciones,2.5 baños,2 parqueos,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",150 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Seguridad 24 Horas"
casa,"US$ 260,000",3 habitaciones,3.0 baños,3 parqueos,"Las Praderas, Santo Domingo Centro (D.N.), Santo Domingo",240 Mt2,
apartamento,"RD$ 9,500,000",3 habitaciones,3.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",222 Mt2,Estar Familiar
casa,"US$ 520,000",3 habitaciones,4.5 baños,3 parqueos,"Cuesta Hermosa I, Santo Domingo Centro (D.N.), Santo Domingo",360 Mt2,
casa,"US$ 450,000",2 habitaciones,2.0 baños,2 parqueos,"Las Praderas, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,
apartamento,"RD$ 7,000,000",3 habitaciones,2.5 baños,2 parqueos,"Av. Cayetano Germosen, Santo Domingo Centro (D.N.), Santo Domingo",200 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
casa,"RD$ 18,000,000",4 habitaciones,5.5 baños,6 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",625 Mt2,
apartamento,"US$ 388,000",3 habitaciones,4.0 baños,3 parqueos,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",208 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Family Room, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
casa,"RD$ 10,950,000",3 habitaciones,3.0 baños,2 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",260 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Cisterna, Cuarto de Servicio, Family Room, Inversor"
apartamento,"RD$ 7,050,000",2 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",115 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 201,000",3 habitaciones,3.5 baños,2 parqueos,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",154 Mt2,"Ascensor, Gimnasio, Lobby, Planta Eléctrica, Terraza"
apartamento,"RD$ 195,000",3 habitaciones,3.5 baños,2 parqueos,"Mirador Norte, Santo Domingo Centro (D.N.), Santo Domingo",205 Mt2,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,"US$ 120,000",2 habitaciones,2.5 baños,2 parqueos,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",130 Mt2,"1/2 Baño, Aire Acondicionado, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 199,000",3 habitaciones,3.5 baños,2 parqueos,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",220 Mt2,"1/2 Baño, Aire Acondicionado, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 190,000",3 habitaciones,3.5 baños,2 parqueos,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",0 Mt2,"1/2 Baño, Ascensor, Control de Acceso, Cuarto de Servicio, Estudio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 90,000",1 habitaciones,1.5 baños,1 parqueos,"Gazcue, Santo Domingo Centro (D.N.), Santo Domingo",60 Mt2,"1/2 Baño, Aire Acondicionado, Ascensor, Balcón, Cisterna, Control de Acceso, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 450,000",4 habitaciones,4.5 baños,3 parqueos,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",395 Mt2,"1/2 Baño, Ascensor, Control de Acceso, Cuarto de Servicio, Estudio, Family Room, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
