tipo_vivienda,divisa,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,US$,"236,000",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",236,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"350,000",NA,NA,NA,"Anacaona, Santo Domingo Centro (D.N.), Santo Domingo",0,"1/2 Baño, Agua Potable, Balcón, Cuarto de Servicio, Estar Familiar, Estudio, Gazzebo, Gimnasio, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza"
apartamento,US$,"265,000",2,2.5,2,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",164,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Sauna, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,RD$,"3,900,000",3,2,2,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",125,
apartamento,RD$,"7,450,000",3,2,1,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",280,
apartamento,RD$,"6,950,000",3,3,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",135,"Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Estar Familiar, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"220,000",4,4.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",205,"1/2 Baño, Agua Potable, Aire Acondicionado, Ascensor, Balcón, Cisterna, Cuarto de Servicio, Estar Familiar, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"5,650,000",2,2.5,2,"Paraiso, Santo Domingo Centro (D.N.), Santo Domingo",150,"1/2 Baño, Aire Acondicionado, Area Servicio Independiente, Cisterna, Estar Familiar, Family Room, Planta Eléctrica, Seguridad 24 Horas, Vestidores"
apartamento,US$,"220,000",3,3,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",205,"Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"134,308",3,2.5,2,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",182,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
apartamento,US$,"69,000",3,3.5,1,"Honduras, Santo Domingo Centro (D.N.), Santo Domingo",119,"1/2 Baño, Ascensor, Balcón, Cisterna, Control de Acceso, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
apartamento,US$,"50,000",1,1.5,1,"El Cacique, Santo Domingo Centro (D.N.), Santo Domingo",75,"1/2 Baño, Agua Potable, Cisterna, Control de Acceso, Lobby, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"155,000",2,2.5,1,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",115,"1/2 Baño, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
apartamento,US$,"121,000",1,1.5,1,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",73,"Ascensor, Control de Acceso, Planta Eléctrica, Seguridad 24 Horas"
apartamento,US$,"76,700",1,1.5,1,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",59,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Family Room, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"165,000",2,2.5,2,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",120,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza"
casa,US$,"350,000",5,5.5,10,"Cuesta Hermosa II, Santo Domingo Centro (D.N.), Santo Domingo",750,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Balcón, Cisterna, Cuarto de Servicio, Estar Familiar, Estudio, Family Room, Gazzebo, Jacuzzi, Patio, Piscina, Planta Eléctrica, Pozo, Walk In Closet"
apartamento,US$,"650,000",4,4.5,4,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",330,"1/2 Baño, Agua Potable, Aire Acondicionado, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Vestidores, Walk In Closet"
apartamento,US$,"135,000",3,2.5,2,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",127,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gazzebo, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,US$,"235,000",2,2,NA,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",125,"Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Patio, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"235,000",2,2,2,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",122,"Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"170,000",1,1,1,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",88,"Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas"
apartamento,US$,"245,000",2,2.5,2,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",160,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
casa,RD$,"12,000,000",4,4.5,4,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",0,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Jacuzzi, Patio, Piscina, Terraza"
apartamento,US$,"485,000",3,3.5,3,"Los Cacicazgos, Santo Domingo Centro (D.N.), Santo Domingo",330,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
